Tanggal Rilis,Judul,Deskripsi,Link,Timestamp
2023-03-21 20:44:00,Game Indonesia 'Troublemaker' Bakal Rilis Akhir Maret 2023,"Akhirnya terungkap tanggal rilis Troublemaker, game Tanah Air yang dikembangkan oleh Gamecom Team. Disampaikan kalau game ini akan rilis pada 31 Maret 2023.",https://inet.detik.com/games-news/d-6631105/game-indonesia-troublemaker-bakal-rilis-akhir-maret-2023,2025-03-12 09:41:58
2023-01-25 11:45:00,"A Space for the Unbound, Game Lokal yang Sedang Populer di Steam","Baru rilis empat hari di Steam, game lokal garapan Mojiken Studio, A Space for the Unbound, sempat merajai posisi tiga teratas di kategori New & Trending.",https://inet.detik.com/games-news/d-6533063/a-space-for-the-unbound-game-lokal-yang-sedang-populer-di-steam,2025-03-12 09:41:58
2023-01-21 16:00:00,"Game Lokal A Space for the Unbound Rilis, Hadir di PS4, PS5 dan Steam","Toge Productions resmi rilis game terbaru mereka, A Space for the Unbound. Gamer dapat menikmatinya di PC melalui Steam, GOG, dan Epic Games Store.",https://inet.detik.com/games-news/d-6527578/game-lokal-a-space-for-the-unbound-rilis-hadir-di-ps4-ps5-dan-steam,2025-03-12 09:41:58
2022-12-24 17:15:00,"Ini Game Indonesia yang Sedang Viral, Judulnya When The Past Was Around","Baru-baru ini game buatan developer Indonesia viral di lini masa Twitter. Judulnya When the Past was Around, hasil racikan ciamik dari Toge Productions.",https://inet.detik.com/games-news/d-6479106/ini-game-indonesia-yang-sedang-viral-judulnya-when-the-past-was-around,2025-03-12 09:41:58
2022-12-19 15:04:00,"Developer Bandung Bikin Game Horor, Bakal Rilis di Steam","Developer game asal Bandung, Dragon Emperor, menggarap game horor Cursed Mansion. Peluncurannya dibantu UPoint Games dan bisa dinikmati Januari 2023.",https://inet.detik.com/games-news/d-6469481/developer-bandung-bikin-game-horor-bakal-rilis-di-steam,2025-03-12 09:41:58
2022-11-10 13:52:00,2 Game Indonesia Akan Rilis di PS4 dan PS5 Tahun 2023,"Developer lokal, Toge Productions, mengumumkan akan meluncurkan game baru Coffee Talk Episode 2: Hibiscus & Butterfly dan A Space for the Unbound pada 2023.",https://inet.detik.com/games-news/d-6398161/2-game-indonesia-akan-rilis-di-ps4-dan-ps5-tahun-2023,2025-03-12 09:42:03
2022-10-24 19:20:00,Industri Game Indonesia Diperkirakan Raup Rp 35 triliun di 2022,"Gelombang eksistensi industri game semakin menggila. Diperkirakan pendapatan dari hiburan ini, bisa mencapai puluhan triliun pada tahun 2022 di Indonesia.",https://inet.detik.com/games-news/d-6366174/industri-game-indonesia-diperkirakan-raup-rp-35-triliun-di-2022,2025-03-12 09:42:03
2022-10-19 13:51:00,"Game Lokal Troublemaker Rilis Demo Lagi, Ada Konten Baru","Gamecom Team, salah satu developer kondang asal Indonesia, kembali merilis demo game baru mereka berjudul Troublemaker. Lantas apa konten anyar yang disuguhkan?",https://inet.detik.com/games-news/d-6356907/game-lokal-troublemaker-rilis-demo-lagi-ada-konten-baru,2025-03-12 09:42:03
2022-10-12 15:24:00,Indonesia Raih Banyak Penghargaan di SEA Game Awards 2022,Ajang penghargaan game bertajuk SEA Game Awards 2022 resmi berakhir. Indonesia sendiri berhasil menyabet empat penghargaan sekaligus dari dua game.,https://inet.detik.com/games-news/d-6343670/indonesia-raih-banyak-penghargaan-di-sea-game-awards-2022,2025-03-12 09:42:03
2022-10-12 14:15:00,"Epic Games Kasih Gratisan Lagi, Ada Game Lokal Rising Hell","Kabar gembira untuk para gamer PC khususnya di Indonesia. Epic Games kasih gratisan lagi nih, di mana salah satunya ada game lokal garapan Tahoe Games.",https://inet.detik.com/games-news/d-6343452/epic-games-kasih-gratisan-lagi-ada-game-lokal-rising-hell,2025-03-12 09:42:03
